id,location,date,total_cases,new_cases,total_deaths,new_deaths,mask_use_percentage
28796,Denmark,2020-03-01,4.00,,,,1.33
28827,Denmark,2020-04-01,3290.00,3286.00,104.00,,2.75
28857,Denmark,2020-05-01,9509.00,6219.00,460.00,356.00,4.00
28888,Denmark,2020-06-01,11899.00,2390.00,576.00,116.00,4.00
28918,Denmark,2020-07-01,12994.00,1095.00,606.00,30.00,
28949,Denmark,2020-08-01,14028.00,1034.00,615.00,9.00,
28980,Denmark,2020-09-01,17509.00,3481.00,625.00,10.00,35.50
29010,Denmark,2020-10-01,28882.00,11373.00,651.00,26.00,40.00
29041,Denmark,2020-11-01,47811.00,18929.00,723.00,72.00,72.50
29071,Denmark,2020-12-01,82470.00,34659.00,846.00,123.00,69.00
29102,Denmark,2021-01-01,166567.00,84097.00,1322.00,476.00,65.00
29133,Denmark,2021-02-01,199644.00,33077.00,2146.00,824.00,65.00
29161,Denmark,2021-03-01,212380.00,12736.00,2366.00,220.00,62.00
29192,Denmark,2021-04-01,231957.00,19577.00,2424.00,58.00,65.00
29222,Denmark,2021-05-01,252740.00,20783.00,2490.00,66.00,60.00
29253,Denmark,2021-06-01,282896.00,30156.00,2517.00,27.00,56.00
29283,Denmark,2021-07-01,294980.00,12084.00,2536.00,19.00,28.00
29314,Denmark,2021-08-01,318807.00,23827.00,2551.00,15.00,18.50
37715,Finland,2020-03-01,6.00,5.00,,,1.33
37746,Finland,2020-04-01,1446.00,1440.00,17.00,,3.75
37776,Finland,2020-05-01,5051.00,3605.00,218.00,201.00,7.00
37807,Finland,2020-06-01,6885.00,1834.00,318.00,100.00,7.00
37837,Finland,2020-07-01,7236.00,351.00,328.00,10.00,
37868,Finland,2020-08-01,7443.00,207.00,329.00,1.00,
37899,Finland,2020-09-01,8142.00,699.00,336.00,7.00,21.50
37929,Finland,2020-10-01,10103.00,1961.00,344.00,8.00,46.00
37960,Finland,2020-11-01,16291.00,6188.00,358.00,14.00,59.00
37990,Finland,2020-12-01,25462.00,9171.00,399.00,41.00,0.00
38021,Finland,2021-01-01,36403.00,10941.00,561.00,162.00,75.50
38052,Finland,2021-02-01,45482.00,9079.00,677.00,116.00,76.00
38080,Finland,2021-03-01,58064.00,12582.00,750.00,73.00,73.00
38111,Finland,2021-04-01,78106.00,20042.00,846.00,96.00,76.00
38141,Finland,2021-05-01,87096.00,8990.00,914.00,68.00,73.00
38172,Finland,2021-06-01,92642.00,5546.00,956.00,42.00,71.50
38202,Finland,2021-07-01,95964.00,3322.00,973.00,17.00,72.00
38233,Finland,2021-08-01,107321.00,11357.00,985.00,12.00,66.00
38322,France,2020-03-01,130.00,124.00,2.00,,11.25
38353,France,2020-04-01,57125.00,56995.00,4779.00,4777.00,38.25
38383,France,2020-05-01,169387.00,112262.00,24566.00,19787.00,70.33
38414,France,2020-06-01,191382.00,21995.00,28837.00,4271.00,77.00
38444,France,2020-07-01,205234.00,13852.00,29865.00,1028.00,81.25
38475,France,2020-08-01,227301.00,22067.00,30268.00,403.00,82.50
